Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3VIJBrMpvimHEw5wtPh2wB,"Money","Portamento","The Drums",2011-01-01,233639,70,sokux9999,2022-09-13T22:08:12Z,"indie","Universal-Island Records Ltd.",0.603,0.918,4,-6.652,0,0.0641,0.216,0.146,0.284,0.452,102.473,4
2QLrYSnATJYuRThUZtdhH3,"Esta Ciudad","Un Atasco","La Plata",2017-03-17,168915,30,sokux9999,2022-09-13T22:08:19Z,"post-punk","Sonido Muchacho",0.427,0.858,7,-3.666,1,0.0401,0.000292,0.00000472,0.114,0.657,101.912,4
74SUn8w4lYSwgOGPvVZiEo,"Gallowdance","Tomb for Two","Lebanon Hanover",2013-10-10,292600,61,sokux9999,2022-09-13T22:11:39Z,"dark wave,coldwave,post-punk,deathrock","FABRIKA RECORDS",0.705,0.766,8,-8.432,1,0.033,0.511,0.845,0.109,0.279,138.033,4
1za54TuEDc3gPqjxsZXSOY,"Hay Que Abandonar Este Lugar","Depresión Sonora","Depresión Sonora",2020-05-08,180750,30,sokux9999,2022-09-13T22:14:03Z,"post-punk","Depresión Sonora",0.675,0.871,11,-5.646,0,0.0697,0.866,0.884,0.109,0.93,159.995,4
7bxP8C8UeAeTYTlYcLIc2k,"Ghost","Ghost","Motorama",2009-04-30,206500,25,sokux9999,2022-09-13T22:17:17Z,"post-punk,coldwave,dark wave","I'm Home Records",0.44,0.833,11,-3.993,1,0.0318,0.00508,0.988,0.281,0.751,167.943,4
0UJlzOqGuPcZ8YWGz9bd4q,"Ya no te veré","Ya no te veré","Depresión Sonora,Rojuu",2022-06-16,230250,40,sokux9999,2022-09-13T22:21:08Z,"post-punk,hyperpop","Sonido Muchacho",0.31,0.801,0,-7.337,1,0.0601,0.000539,0.308,0.195,0.42,161.325,4
6zX7KSFicewSnSeT3W2tvN,"seguiremos siendo","seguiremos siendo","Depresión Sonora,Bratty",2022-01-27,194874,40,sokux9999,2022-09-13T22:21:16Z,"post-punk,indie latino,indie mexicano","Sonido Muchacho",0.586,0.826,9,-5.884,1,0.0274,0.0144,0.0307,0.088,0.612,143.986,4
2aLlKa3vOl3BKdeJsZq4LR,"Fuera de Tiempo","1996","InnerCut,Natalia Lacunza,Ghouljaboy",2022-03-25,174000,18,sokux9999,2022-09-13T22:22:13Z,"post-punk","Helsinkipro",0.738,0.711,4,-5.579,1,0.0642,0.00327,0.0348,0.0781,0.588,159.964,4
1k6rLq06flAiuN0gsHEMlR,"La Casa del Árbol","Historias Tristes para Dormir Bien","Depresión Sonora",2021-05-28,204909,39,sokux9999,2022-09-13T22:27:30Z,"post-punk","Sonido Muchacho",0.61,0.581,2,-11.392,1,0.039,0.392,0.844,0.0785,0.567,161.028,4
7DBr40ojo1u0RcduVWjfoO,"Intentar","Nubes","San Charbel",2017-03-10,171613,0,sokux9999,2022-09-13T22:40:40Z,"post-punk,indie mexicano,indie latino,dark wave","Emma's House Records",0.287,0.669,9,-10.026,1,0.0753,0.568,0.637,0.25,0.749,199.875,4
099uhJSTAZ33pVEZOtPeax,"Algo Mejor","Regalos del Sosiego","Ignacio Acevedo",2015-07-25,206221,19,sokux9999,2022-09-13T22:43:51Z,"indie latino","Yolanda Discos",0.454,0.965,1,-5.577,0,0.0558,0.147,0.0278,0.261,0.765,169.3,4
3ZmOzlrtGuvGRfLeZ0wNbw,"Al Sur","Temporada","Patio Solar",2015-01-14,217756,29,sokux9999,2022-09-13T22:46:29Z,"indie latino,indie mexicano","Piloto",0.606,0.645,11,-8.58,1,0.029,0.00364,0.91,0.292,0.771,133.985,4
2mCz9Sl9eamWY65q7zMNm2,"El Susto y el Miedo","Lance","Niños Del Cerro",2018-08-31,326141,20,sokux9999,2022-09-13T22:47:27Z,"indie latino","Quemasucabeza",0.229,0.832,4,-5.781,1,0.121,0.00603,0.144,0.152,0.239,94.116,4
0sTlGEld0h8kIPZaKDYUf4,"Notion","Notion","The Rare Occasions",2021-12-02,195120,75,sokux9999,2022-09-14T12:30:16Z,"","Elektra (NEK)",0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,4
7sQdJYkFziMZL23l6sNULh,"super ultra mega dark times","dreamcore","Ghouljaboy",2021-11-26,217044,0,sokux9999,2022-11-08T22:53:52Z,"post-punk","BMG Rights Management and Administration (Spain) S.L.U",0.481,0.837,10,-4.963,0,0.0476,0.0013,0.0000822,0.149,0.648,140.067,4
